Alg.Relator.preservesRecip_of_tabular	0
Alg.Relator.map_eq_of_eq_on_maps	0
Alg.Relator.map_inter_coreflexive	0
Alg.Relator.map_dom	0
Alg.Relator.map_dom_of_tabular	0
Alg.recip_topMor	0
Alg.RelProd	0
Alg.RelProd.p	0
Alg.RelProd.outl	0
Alg.RelProd.outr	0
Alg.RelProd.tab	0
Alg.RelProd.outl_map	0
Alg.RelProd.outr_map	0
Alg.RelProd.eq_topMor	0
Alg.RelProd.joint_id	0
Alg.RelProd.outr_recip_outl	0
Alg.relProd	0
Alg.id_inter_comp_topMor_le_dom	0
Alg.inter_comp_topMor_eq_dom_comp	0
Alg.RelProd.pair	0
Alg.prodMap	0
Alg.RelProd.pair_mono	0
Alg.prodMap_mono	0
Alg.RelProd.pair_outl	0
Alg.RelProd.pair_outr	0
Alg.RelProd.le_pair_iff	0
Alg.RelProd.le_pair_proj	0
Alg.RelProd.pair_map	0
Alg.RelProd.pair_simple	0
Alg.RelProd.map_comp_pair	0
Alg.prodMap_id	0
Alg.prodMap_recip	0
Alg.prodMap_outr_le	0
Alg.prodMap_outl_le	0
Alg.prodMap_id_outl	0
Alg.prodMap_id_outr	0
Alg.outl_recip_prodMap	0
Alg.outr_recip_prodMap	0
Alg.recip_outr_prodMap_le	0
Alg.recip_outl_prodMap_le	0
Alg.RelProd.pair_prodMap_fst	0
Alg.RelProd.pair_prodMap_snd	0
Alg.prodMap_factor	0
Alg.RelProd.pair_prodMap	0
Alg.prodMap_comp	0
Alg.RelProd.pair_recip_pair	0
Alg.junc	0
Alg.u₁_junc	0
Alg.u₂_junc	0
Alg.junc_unique	0
Alg.junc_injections	0
Alg.junc_mono	0
Alg.junc_comp	0
Alg.junc_recip	0
Alg.junc_recip_junc	0
Alg.sumMap	0
Alg.sumMap_mono	0
Alg.sumMap_id	0
Alg.sumMap_comp	0
Alg.sumMap_recip	0
Alg.junc_id_zero	0
Alg.corNeg	0
Alg.corNeg_coreflexive	0
Alg.inter_corNeg	0
Alg.union_corNeg	0
Alg.guard	0
Alg.guard_map	0
Alg.cond	0
Alg.cond_eq_union	0
Alg.cond_spec	0
Alg.powerRel	0
Alg.powerRel_eps_lax	0
Alg.powerRel_term1_cancel	0
Alg.powerRel_mono	0
Alg.powerRel_id	0
Alg.powerRel_map	0
Alg.powerRel_comp_le	0
Alg.powerRel_comp	0
Alg.InitialAlgebra	0
Alg.InitialAlgebra.t	0
Alg.InitialAlgebra.α	0
Alg.InitialAlgebra.α_map	0
Alg.InitialAlgebra.cata	0
Alg.InitialAlgebra.cata_map	0
Alg.InitialAlgebra.cata_comm	0
Alg.InitialAlgebra.cata_unique	0
Alg.relCata	0
Alg.relCata_unfold	0
Alg.relCata_UP	0
Alg.relCata_cancel	0
Alg.relCata_map	0
Alg.A_relCata	0
Alg.TabularUnitaryUnguardedDivisionPowerAllegory	0
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.toUnguardedPowerAllegory	0
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.toTabularUnitaryDivisionAllegory	0
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps_thick	0
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps_straight	0
Alg.TabularUnitaryUnguardedDivisionPowerAllegory.eps	0
