Alg.sub_mono_left	-30.61	-136.71
Alg.DivisionLCDA	-306.58	393.48
Alg.DivisionLCDA.toLocallyCompleteDistributiveAllegory	-124.88	35.31
Alg.DivisionLCDA.div	-87.36	-26.79
Alg.DivisionLCDA.div_comp_le	-98.72	-21.12
Alg.DivisionLCDA.toDivisionAllegory	-92.19	-33.78
Alg.DivisionLCDA.le_div	-86.86	-27.23
Alg.DivisionBooleanAllegory	-306.78	394.03
Alg.DivisionBooleanAllegory.le_div	-78.33	-73.52
Alg.DivisionBooleanAllegory.div_comp_le	-72.46	-67.74
Alg.DivisionBooleanAllegory.div	-84.91	-61.08
Alg.DivisionBooleanAllegory.toDivisionAllegory	-77.83	-75.16
Alg.DivisionBooleanAllegory.toBooleanAllegory	-86.08	-43.21
Alg.DivisionBooleanAllegory.toDivisionLCDA	-66.35	-83.30
Alg.neg_div	-22.81	-184.42
Alg.div_eq_neg_comp	-2.37	-205.90
Alg.reflexive_transitive_iff_div_self	73.52	-239.53
Alg.A_UP	-27.78	-187.15
Alg.A_injective	-36.80	-146.78
Alg.A_fusion	52.89	-291.75
Alg.A_eps_reflection	27.24	-219.23
Alg.existsImage	-60.06	-71.78
Alg.existsImage_is_map	-43.83	-144.83
Alg.existsImage_eps	-39.26	-159.89
Alg.A_absorption	66.13	-299.94
Alg.existsImage_id	-67.08	-76.84
Alg.existsImage_comp	-61.21	-87.96
Alg.singletonMap_natural	5.87	-151.26
Alg.bigUnion_eq_existsImage_eps	-63.95	-81.54
Alg.bigUnion_singleton	5.75	-168.54
Alg.bigUnion_existsImage_singleton	25.09	-207.97
Alg.bigUnion_assoc	-62.25	-87.56
Alg.powerOrder_transitive	-20.35	-140.73
Alg.leftDiv_div_eps	58.22	-306.07
Alg.wlp	-72.48	-67.09
Alg.wlp_is_map	-39.67	-154.30
Alg.wlp_eps	-35.77	-151.15
Alg.wlp_comp	38.93	-258.13
Alg.wlp_antitone_iff	27.72	-250.93
Alg.A_eq_singleton_existsImage	-51.25	-91.26
Alg.existsImage_eq_A_bigUnion	-40.38	-159.16
Alg.Relator	-311.82	396.54
Alg.Relator.obj	-305.95	384.32
Alg.Relator.map	-318.07	389.23
Alg.Relator.map_id	-312.20	395.01
Alg.Relator.map_comp	-306.32	382.79
Alg.Relator.map_mono	-318.45	389.67
Alg.Relator.PreservesRecip	-309.07	398.41
Alg.Relator.idRelator	-303.20	383.89
Alg.Relator.comp	-120.88	-102.78
Alg.Relator.map_recip_map	-77.89	-187.54
Alg.Relator.map_is_map	-72.02	-199.75
Alg.Relator.preservesRecip_of_tabular	192.51	-478.19
Alg.Relator.map_eq_of_eq_on_maps	198.83	-472.40
Alg.Relator.map_inter_coreflexive	68.73	-318.21
Alg.Relator.map_dom	70.18	-325.57
Alg.Relator.map_dom_of_tabular	45.95	-444.38
Alg.recip_topMor	107.33	-365.40
Alg.RelProd	-31.91	-233.27
Alg.RelProd.p	-7.53	-256.94
Alg.RelProd.outl	43.56	-327.73
Alg.RelProd.outr	31.44	-321.95
Alg.RelProd.tab	157.85	-461.45
Alg.RelProd.outl_map	63.11	-353.90
Alg.RelProd.outr_map	51.21	-347.68
Alg.RelProd.eq_topMor	56.97	-341.90
Alg.RelProd.joint_id	63.28	-354.12
Alg.RelProd.outr_recip_outl	50.72	-347.79
Alg.relProd	189.40	-465.94
Alg.id_inter_comp_topMor_le_dom	67.62	-353.79
Alg.inter_comp_topMor_eq_dom_comp	51.33	-337.82
Alg.RelProd.pair	51.73	-334.12
Alg.prodMap	62.10	-350.72
Alg.RelProd.pair_mono	50.19	-344.72
Alg.prodMap_mono	55.30	-338.28
Alg.RelProd.pair_outl	92.49	-384.66
Alg.RelProd.pair_outr	80.80	-379.21
Alg.RelProd.le_pair_iff	59.63	-344.63
Alg.RelProd.le_pair_proj	62.44	-352.47
Alg.RelProd.pair_map	56.67	-355.56
Alg.RelProd.pair_simple	62.10	-349.45
Alg.RelProd.map_comp_pair	66.55	-357.83
Alg.prodMap_id	53.99	-350.08
Alg.prodMap_recip	75.85	-361.93
Alg.prodMap_outr_le	81.07	-365.39
Alg.prodMap_outl_le	69.16	-359.61
Alg.prodMap_id_outl	61.90	-346.27
Alg.prodMap_id_outr	67.77	-358.27
Alg.outl_recip_prodMap	80.94	-362.56
Alg.outr_recip_prodMap	87.14	-357.11
Alg.recip_outr_prodMap_le	79.77	-366.48
Alg.recip_outl_prodMap_le	67.86	-360.70
Alg.RelProd.pair_prodMap_fst	116.88	-386.89
Alg.RelProd.pair_prodMap_snd	138.19	-397.86
Alg.prodMap_factor	53.91	-351.61
Alg.RelProd.pair_prodMap	47.20	-329.08
Alg.prodMap_comp	66.43	-339.94
Alg.RelProd.pair_recip_pair	112.44	-387.30
Alg.junc	147.11	-269.30
Alg.u₁_junc	231.37	-401.90
Alg.u₂_junc	221.87	-421.13
Alg.junc_unique	155.05	-282.11
Alg.junc_injections	158.30	-272.39
Alg.junc_mono	148.15	-289.86
Alg.junc_comp	169.79	-301.71
Alg.junc_recip	177.41	-329.97
Alg.junc_recip_junc	166.49	-311.32
Alg.sumMap	152.00	-278.71
Alg.sumMap_mono	154.59	-268.33
Alg.sumMap_id	148.27	-289.53
Alg.sumMap_comp	156.23	-285.28
Alg.sumMap_recip	160.79	-277.97
Alg.junc_id_zero	181.51	-375.14
Alg.corNeg	-51.83	-117.23
Alg.corNeg_coreflexive	77.21	-304.02
